,title,body
0,"국내 첫 ‘우한 폐렴’ 확진 판정…보건당국, 국내 확산 차단에 ‘총력’ [종합]","




// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}

중국 ‘우한(武漢) 폐렴’ 확진자가 국내에서 발생한 20일 오후 인천시 동구 인천의료원 응급실 출입문에 폐렴 증상자들에게 알리는 안내문이 부착돼 있다. 해당 확진자인 중국 국적 여성은 이 병원 음압 치료 병상에 격리됐다. 연합뉴스.중국 우한(武漢)에서 유행 중인 신종 코로나바이러스에 감염된 폐렴 확진자가 20일 국내에서 처음 발생함에 따라 우리나라도 더는 ‘안전지대’가 아니게 됐다. 국내 첫 확진자는 인천국제공항 입국 시 검역단계에서 확인돼 바로 격리됐다.질병관리본부에 따르면 이 환자는 중국 후베이성 우한시에 거주하는 35세 중국 국적 여성으로 춘제(春節·중국의 설)를 맞이해 한국과 일본을 여행하기 위해 19일 인천으로 입국했다.탑승 항공기는 19일 낮 12시 11분에 도착한 중국남방항공 ‘CZ6079’편이다.환자는 우한시 입국자 검역 과정에서 발열 등 증상을 보여 ‘조사대상 유증상자’로 분류돼 국가지정입원치료병상인 인천의료원으로 이송됐다. 이후 질본에서 신종 코로나바이러스 감염증 검사를 시행한 결과 이날 오전 확진됐다.질본은 환자의 비행기 내 동선 파악에 주력하는 한편 앞뒤 근접해 앉은 승객, 환자를 담당한 승무원 등을 밀접 접촉자로 분류해 관리할 예정이다. 현재 전체 탑승자 명단도 파악 중이다. 접촉자는 관할 보건소에 통보해 능동감시를 진행할 예정이다. 능동감시는 환자와 마지막 접촉일부터 14일 동안 1일, 2일, 7일째 유선 연락해 호흡기 증상 여부를 확인하는 방식으로 진행하며, 의심 증상 발생 시 격리 후 검사를 하게 된다. 확진 환자는 화난 해산물시장을 포함해 우한시 전통시장을 방문하거나 현지에서 확진환자, 야생동물 등과 접촉하지 않았다고 밝혀 신종 코로나바이러스의 사람 간 전파 가능성에 무게가 실리고 있다.질본도 이런 가능성을 배제하지 않고 있다. 이에 따라 질본은 동행자의 향후 증상 발현 여부 등을 면밀히 관찰할 예정이다. 중국 최대 연휴 춘제를 맞아 우한에서 국내로 입국하는 사람이 늘어날 가능성에 대비해야 한다는 목소리도 나온다. 검역뿐만 아니라 지역사회에서 감시를 강화해 확산을 방지해야 한다는 것이다.잠복기 환자들이 지역사회에 신종 코로나바이러스를 확산하는 매개체가 되지 않도록 감시 체제가 강화돼야 한다는 지적이다.질본은 중국 우한시 입국자의 경우 귀국 후 14일 이내 발열, 기침 등 증상이 발생하면 여러 병원을 방문하기보다는 질병관리본부 콜센터나 보건소에 상담해달라고 강조했다. 질본은 신종 코로나바이러스 폐렴 환자가 중국, 태국, 일본 등에서 확진된 데 따라 국내 대응을 한층 강화하고 있다. 질본에서는 중앙방역대책본부를 꾸려 환자감시체계를 강화하고, 시도 방역대책반 역시 설 연휴에 24시간 비상방역체계를 가동하는 등 지역사회 확산을 막는 데 힘쓸 계획이다.손봉석 기자 paulsohn@kyunghyang.com▶ [스포츠경향 인기 무료만화 보기]▶ [지금 옆사람이 보고있는 뉴스]©스포츠경향(sports.khan.co.kr), 무단전재 및 재배포 금지
	
"
1,"‘중국 우한 폐렴’ 국내 첫 발생, 위기경보 ‘주의’로","




// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}

ㆍ19일 입국 30대 중국 국적 여성‘중국 우한 폐렴’ 확진자가 국내에서 처음 발생했다. 보건당국은 감염병 위기경보 수준을 ‘관심’에서 ‘주의’ 단계로 상향 조정했다. 질병관리본부는 지난 19일 중국 우한에서 인천공항으로 입국한 중국 국적의 여성 ㄱ씨(35)가 ‘우한 폐렴’으로 불리는 신종 코로나 바이러스에 감염된 것으로 확인했다고 20일 밝혔다. ㄱ씨는 공항 입국자 검역 과정에서 발열·오한·근육통 등의 증상을 보여 격리돼 검사를 받았으며, 현재 국가 지정 격리병상인 인천의료원에서 치료를 받고 있다. 질본 정은경 본부장은 “환자 보유 바이러스가 신종 코로나 바이러스의 염기서열과 정확히 일치해 확진 판정을 내렸다”고 설명했다. 환자는 바이러스를 보유하고 있으나 폐렴 증상은 나타나지 않았으며, 현재 안정적인 상태인 것으로 전해졌다.질본은 환자가 검역단계에서 격리돼 지역사회 노출은 없는 상황이라고 밝혔다. 환자의 일행 5명은 현재까지 별다른 증상이 없는 것으로 확인됐다. 질본은 ㄱ씨와 항공기를 함께 탄 승객 및 승무원 명단을 파악 중이다. 접촉자로 파악되면 관할 보건소에 통보해 14일간 능동 감시를 할 예정이다.한편 중국 내 ‘우한 폐렴’ 환자는 20일 현재 210명을 넘어섰다. 우한뿐 아니라 베이징과 광둥성, 상하이에서도 우한에 다녀온 이들이 확진 판정을 받았다. 지금까지 사망자는 3명인데 모두 우한 지역 주민들이다. 위중한 환자들도 있기 때문에 사망자 수는 더 늘어날 수 있다. 저장성 원저우, 항저우 등지에서도 의심환자가 나왔다.중국 최대 명절인 춘제(春節·설)를 앞두고 귀향 행렬이 시작된 가운데 중국뿐 아니라 주변 국가들의 우려도 커지고 있다. 태국과 일본에서는 중국인 2명과 1명이 각각 감염자로 확진됐다.이혜인 기자·베이징 | 박은경 특파원  yama@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 최신기사▶ 기사 제보하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지

"
2,신종 코로나 바이러스 폐렴 발원지…중국 우한 위치 어디?,"




// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}

	
	[머니투데이 최태범 기자] [중부지역 대도시로 교통 중심지…‘신해혁명’ 장소 ] [인천공항=뉴시스] 고범준 기자 = 국내에서 중국 '우한 폐렴' 확진자가 발생한 가운데 20일 오후 인천국제공항 제2여객터미널 입국장에서 중국 우한에서 출발해 인천공항에 도착한 승객들을 검역원들이 발열 검사를 하고 있다. 2020.01.20.   bjko@newsis.com20일 국내에서 중국 신종 코로나바이러스로 폐렴에 걸린 확진 환자가 처음 발생하면서 보건당국 방역관리에 비상이 걸렸다. 이 환자는 전날 한국에 입국한 우한시 거주 중국인 여성이다. 이번 폐렴은 중국 후베이성 우한(武漢)시에서 집단으로 발생해 ‘우한 폐렴’으로 불린다. 우한시는 중국 중부에 위치한 인구 1100만명의 대도시로 교통의 중심지다. 역사적 측면에서 보면 5000년 동안 지속되던 전제 군주제를 무너뜨린 ‘신해혁명’의 진원지다. 신해혁명은 1911년 청나라를 무너뜨리고 중화민국을 탄생시킨 중국 혁명이다. 역사상 처음으로 공화국을 수립해 공화혁명으로도 불린다. 초기 우한 폐렴 환자의 대다수가 화난 해산물 시장을 방문한 것으로 확인되면서 사스(중증급성호흡기증후군)·메르스(중동호흡기증후군)처럼 야생동물이 매개됐을 가능성이 제기됐다. 화난 해산물 시장에선 생가금류나 야생동물이 판매된다. 현재는 폐쇄된 상태다. 우한시 확진환자는 198명이다. 베이징 2명, 선전 1명 등 중국 전역으로 확산될 조짐도 보인다. 태국과 일본에서도 우한 폐렴 확진환자가 각각 2명, 1명씩 입국했다. 이 가운데 우한에서 발생한 환자 3명은 숨졌다. ━국내 확진환자, 공항 검역단계서 확인…지역사회 노출 없어━질병관리본부에 따르면 이날 확인된 국내 첫 확진 환자는 전날(19일) 오후 12시11분 중국남방항공(CZ6079)을 타고 입국한 중국 국적의 35세 여성이다. 우한시에 거주하는 환자는 입국 전날 발열, 오한, 근육통 등 증상으로 우한시 병원에서 감기 진단을 받았다.인천공항검역소는 입국자 검역 과정에서 발열 등 증상이 있는 이 환자를 ‘조사대상 유증상자’로 분류한 뒤 국가지정입원치료병상(인천의료원)으로 이송했다. 질병관리본부는 판-코로나바이러스에 대한 유전자증폭(PCR) 검사를 통해 이 환자가 양성 여부를 확인했다. 현재 환자 상태는 안정적이며 폐렴은 없다고 질병관리본부측은 밝혔다.질병관리본부는 ""검역단계에서 확인되면서 지역사회 노출은 없는 상황""이라며 ""역학조사 과정에서 우한 페렴 확진 여성은 화난 해산물 시장을 방문하거나 다른 확진 환자, 야생동물과의 접촉은 없었다고 답했다""고 설명했다. 확진환자와 직접 비행기에 동행한 사람은 5명인데 별다른 증상이 없는 것으로 파악됐다. 이들은 설(춘절) 명절 연휴를 앞두고 한국과 일본을 여행하기 위해 비행기를 탔다. 질병관리본부는 전체 탑승 명단을 파악한 뒤 접촉자에 대한 조사를 진행할 예정이다.최태범 기자 bum_t@mt.co.kr▶버핏을 갑부로 만든 일생 최고의 조언▶장모 명의로 바뀐 집, 이혼하면… ▶네이버 구독하기 <저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>
	
"
3,국내 첫 中 '우한 폐렴' 확진자 1명 발생,"




// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}

국내에서 중국 '우한 폐렴' 확진자가 발생한 가운데 20일 오후 인천국제공항 제2여객터미널 입국장에서 중국 우한에서 출발해 인천공항에 도착한 승객들을 검역원들이 발열 검사를 하고 있다. /뉴시스[더팩트 | 최승진 기자] 국내에서도 중국 '우한 폐렴' 확진자 1명이 발생했다.질병관리본부는 20일 중국 우한시 신종 코로나바이러스 감염증 해외유입 확진 환자를 확인했다고 밝혔다.이에 따라 감염병 위기 경보 수준을 '관심'에서 '주의' 단계로 상향 조정하고 중앙방역대책본부와 지자체 대책반을 가동해 지역사회 감시와 대응을 강화한다.이 환자는 지난 19일 중국 우한시에서 인천공항으로 입국한 중국 국적 35살 여성이다.그는 입국 하루 전인 지난 18일 발열·오한·근육통 등 증상이 있어 같은 날 중국 우한시 병원에서 진료를 받은 후 감기 진단을 받았다.이 환자는 화난 해산물시장을 포함해 우한시 전통시장을 방문한 이력은 없고 야생동물과 접촉하지도 않은 것으로 조사됐다.질병관리본부는 확진 환자가 검역단계에서 확인돼 지역사회 노출은 없는 상황이라고 밝혔다.다만 항공기 동승 승객과 승무원 등 접촉자는 현재 조사 중이다. 접촉자는 관할 보건소에 통보해 능동감시를 진행할 예정이다.shaii@tf.co.kr- 네이버 메인 더팩트 구독하고 [특종보자▶]  - 그곳이 알고싶냐? [영상보기▶]  - 내 아이돌 응원하기 [팬앤스타▶]  저작권자 ⓒ 특종에 강한 더팩트 & tf.co.kr 무단 전재 및 재배포 금지
	
"
4,확진환자 200명 '우한 폐렴' 때문에 바짝 긴장한 중국... 시진핑 주석 '전력 대응' 주문,"




// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}

시진핑 중국 국가 주석 /신화=연합뉴스예방법도 없고, 감염경로도 규명되지 못한 ‘우한 폐렴’ 확진 환자가 한국에서 나온 가운데, 시진핑 중국 국가 주석이 우한 폐렴에 대한 강력한 대응을 주문했다. 이례적으로 시진핑 주석까지 나서 질병 확산 방지를 위해 강력 대응할 것을 주문한 것은 중국 정부가 이번 사안의 심각성을 인정한 것이라는 평가가 나온다. 그동안 중국 보건당국은 신형 코로나 바이러스 감염자와 이에 따른 폐렴 환자가 우한 지역에서만 확인됐으며, 상황 역시 충분히 통제 가능하다는 입장이었다.20일 중국 관영매체인 CCTV 보도에 따르면 시 주석은 ""우한을 비롯한 여러 지역에서 신형 코로나 바이러스가 발병한 사태에 진중하게 대응해야 한다""며 ""당(중국 공산당) 위원회와 정부, 관련된 모든 부처는 국민의 삶과 건강을 최우선에 두어야 한다""고 강조했다.중국 중부 후베이성 우한에서 처음 확인된 신형 코로나 바이러스에 감염되면 열이 나고 콧물·기침·두통·오한 등 감기와 비슷한 증상이 나타난다. 특히 심장과 폐 기능이 약하거나 면역력이 약한 환자와 노약자가 취약한 것으로 알려졌다.AP통신에 따르면 이날 우한 보건당국이 확인한 추가 감염자는 136명이다. 이로써 중국 내 신형 코로나 바이러스 확진자 수는 모두 198명으로 급증했다. 중국 수도 베이징과 남부 광둥성 선전에서 감염 확진자가 3명 나왔고, 동남부 저장성에서도 의심 환자 5명이 발생했다. 바이러스가 중국 전역으로 퍼졌을 것이라는 우려가 증폭되는 이유다.중국 바깥에서도 감염 환자가 속속 등장하고 있다. 태국(2명), 일본(1명)에 이어 한국에서도 20일 인천공항으로 입국한 30대 중국인 여성이 신종 코로나바이러스 감염자로 확진됐다. 확진 환자들은 대부분 최근 중국을 방문한 적이 있는 것으로 알려졌다.오는 24일부터 중국 최대 명절인 춘제(설) 연휴가 시작되면 나라 안팎으로 중국 국민이 대거 이동하는만큼, 주변국에도 비상이 걸린 상황이다. 미국 일부 공항도 중국발 항공편 승객에 대한 검역을 시작한다는 방침을 세웠다.한편 신형 코로나 바이러스의 정확한 감염경로는 아직 규명되지 않았다. 보건당국은 코로나 바이러스에 감염될 경우 제대로 휴식을 취하면 대부분 건강을 회복할 수 있고, 폐렴으로 악화되면 항생제나 해열제를 투약해야 한다고 밝혔다. 붐비는 장소를 피하고 손을 자주 씻어 감염 가능성을 최소화하는 게 현재로서는 유일한 예방법이다.[유한빛 기자 hanvit@chosunbiz.com] 	[네이버 메인에서 조선일보 받아보기]	[조선닷컴 바로가기]	[조선일보 구독신청하기] 	- Copyrights ⓒ 조선일보 & chosun.com, 무단 전재 및 재배포 금지 -

"
5,코로나 바이러스(우한 폐렴) 중국 대도시 확산→동아시아?,"




// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}

20일 오후 인천국제공항 제2터미널 입국장에서 질병관리본부 국립검역소 직원들이 동남아,우한발 비행기 입국자들을 발열 검사하고 있다. 질병관리본부는 19일 중국 우한에서 인천공항으로 입국한 중국 국적 여성이 우한 폐렴으로 불리는 신종 코로나바이러스에 감염됐다고 밝혔다. 연합뉴스중국발 신종 코로나바이러스에 의한 폐렴, 일명 '우한 페렴'의 중국 내 확산세가 커지고 있다.우한 폐렴은 지난해 12월 중국 후베이성 우한 시에서 집단발병했고, 올해 1월 10일 첫 사망자가 발생했다.이어 우한은 물론 중국 베이징과 상하이 등 대도시에 잇따라 확진 내지는 의심 환자가 나타나고 있다.20일 중국 언론 보도에 따르면 이날 오후 6시(현지시간) 기준 우한 폐렴 확진 환자는 모두 224명이다.우한이 198명으로 가장 많은 수를 차지하지만, 베이징에 5명, 광둥성에 14명이 나타난 점이 눈길을 끈다.아울러 우한 폐렴 의심 환자는 상하이 2명, 쓰촨성 2명, 산둥성 1명, 윈난성 1명, 광시좡족자치구 1명 등 7명 발생했는데, 우한을 기준으로 서쪽 멀리 쓰촨성부터 동쪽 끝 상하이까지 넓은 환자 분포도를 만들고 있다. 이게 중국 전역으로 우한 폐렴이 번지는 신호가 아니냐는 분석이 나온다.이에 중국 보건 당국은 우한 전역에 대한 방역 작업을 강화했고 확진 내지는 의심 환자가 나타난 대도시에서도 방역을 본격화하고 있다.중국 '우한(武漢) 폐렴' 확진자가 국내에서 발생한 20일 오후 인천시 동구 인천의료원 응급실 출입문에 폐렴 증상자들에게 알리는 안내문이 부착돼 있다. 해당 확진자인 중국 국적 여성은 이 병원 음압 치료 병상에 격리됐다. 연합뉴스그러나 문제는 우리의 설과 같은 1월 1일을 전후로 한 춘절 시기 대이동이다. 대도시를 중심으로 하는 교통망을 따라 우한 폐렴 역시 확산일로를 걸을 지에 시선이 집중된다.아울러 수많은 중국인들이 이 때 해외 관광을 가는 점은 주요 관광지인 동남아시아와 일본을 비롯해 한국에도 우려를 만들 모양새다. 이미 어제인 19일 우한에서 중국남방항공편으로 인천공항에 입국한 중국 국적 30대 여성이 우한 폐렴으로 불리는 신종 코로나바이러스에 감염됐다는 소식이 전해진 바 있다. 앞서 중국인들의 주요 관광지인 태국에서 2명, 일본에서 1명의 중국인이 우한 폐렴 확진 판정을 받은 바 있다. 이 역시 중국 전역을 넘어 동아시아에 우한 폐렴 주의보를 만들고 있다.황희진 기자 hhj@imaeil.com▶ 네이버에서 매일신문 구독하기▶ 매일신문 네이버TV 바로가기▶ 매일신문 Youtube 바로가기ⓒ매일신문 - www.imaeil.com

"
6,국내 첫 '우한 폐렴' 확진...中 여성 여행객,"



동영상 뉴스




// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}

	
	[앵커]중국에서 이른바 '우한 폐렴'이 빠르게 확산하는 가운데 국내에서도 처음으로 확진자 1명이 발생했습니다.30대 중국인 여성으로 어제(19일) 인천공항 입국장에서 격리됐는데, 현재 건강은 양호한 상태라고 합니다.김승재 기자가 보도합니다.[기자]중국 우한에 사는 35살 중국인 여성은 지난 토요일 발열과 오한, 근육통 증상이 있어 우한시 병원을 찾았습니다.진료를 받은 뒤 감기 처방을 받았습니다.그리고 춘제 연휴를 맞아 한국과 일본 여행을 하기 위해 동료 5명과 함께 일요일에 인천공항으로 입국했습니다.하지만 공항 입국장에서 발열 등 이상 증상이 포착돼 격리 상태로 검사가 이뤄졌고, 그 결과 '우한 폐렴'으로 확진됐습니다.[정은경 / 질병관리본부장 : 판-코로나바이러스 PCR 검사를 시행해 양성이 나왔고, PCR 산물을 유전자 염기서열 분석하여 중국에서 발견된 신종 코로나바이러스와 염기서열을 비교해 확진 판정했습니다.]이 환자는 현재 인천의료원에 격리돼 치료를 받고 있습니다.환자의 건강은 양호한 상태이고, 일행 5명은 현재까지 증상이 없는 것으로 나타났습니다.환자는 이번 폐렴 확산이 이뤄진 것으로 지목된 화난 해산물시장을 포함해 우한시 전통시장을 방문한 이력은 없는 것으로 조사됐습니다.또 야생동물 접촉도 없었다고 답변했습니다.이 때문에 신종 코로나바이러스의 사람 간 전파 가능성에 무게가 실리고 있습니다.당국은 이 환자를 상대로 심층 역학조사를 진행하면서 항공기에 동승했던 승객과 승무원 등 접촉자를 상대로 조사를 벌이고 있습니다.당국은 확진 환자가 검역단계에서 격리돼 지역사회 노출은 없는 상황이라고 밝혔습니다.YTN 김승재입니다.※ '당신의 제보가 뉴스가 됩니다' YTN은 여러분의 소중한 제보를 기다립니다.[카카오톡] YTN을 검색해 채널 추가 [전화] 02-398-8585 [메일] social@ytn.co.kr [온라인 제보] www.ytn.co.kr ▶ 대한민국 24시간 뉴스 채널 YTN 생방송보기  ▶ 네이버에서 YTN 뉴스 채널 구독하기 [저작권자(c) YTN & YTN PLUS 무단전재 및 재배포 금지]
	
"
7,"'우한 폐렴' 베이징까지…확진 200명, 주변국도 '춘제 비상'","




// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}

[앵커]'우한 폐렴'은 수도 베이징, 상하이까지 퍼지면서 환자 수가 급속도로 늘고 있습니다. 특히 중국의 춘제 대이동을 앞두고 중국은 물론 , 주변 나라들까지 비상이 걸렸습니다. 이어서 송무빈 기자입니다. [리포트]중국의 신종 코로나바이러스 감염자가 200명을 넘어섰습니다. 중국 보건당국이 최근 새로 개발한 시약을 사용한 뒤, 후베이 성 우한에서는 이틀 새 136명이 추가 확진을 받았습니다. 이 중 1명이 숨져 현재까지 사망자는 모두 3명으로 늘었습니다. 바이러스는 우한 외 중국 다른 지역까지 퍼져 지난 20일 선전에 이어 수도 베이징과 상하이에서도 확진 환자가 나왔습니다. 당국은 첫 감염 보름이 넘은 지난 14일에서야 우한을 시작으로 방역 조치에 들어가 늑장 대응 지적이 나옵니다. 이미 태국에서 2명, 일본에서 1명 등 해외에서도 확진 환자가 발생했습니다. 미국 질병통제예방센터는 우한을 출발해 주요 공항에 도착하는 항공기 탑승객을 상대로 검역에 나섰습니다. 겅솽 / 중국 외교부 대변인""지금까지 일본과 태국, 한국은 확인된 신종 코로나바이러스 감염 사례를 중국에 알려 왔습니다."" 음력 1월 1일인 오는 25일, 중국 최대 명절인 춘제를 전후한 3주 가량 수억 명의 대이동이 예상돼 바이러스는 더 빠른 속도로 퍼질 거란 우려가 나옵니다. TV조선 송무빈입니다☞ 네이버 메인에서 TV조선 구독하기☞ 더 많은 TV조선 뉴스 보기☞ TV CHOSUN 개국 8주년 기념 이벤트* 뉴스제보 : 이메일(tvchosun@chosun.com), 카카오톡(tv조선제보), 전화(1661-0190)송무빈 기자(moving@chosun.com)- Copyrights ⓒ TV조선. 무단전재 및 재배포 금지 -
	
"
8,"""사람 간 전파 가능성""…설 앞두고 국내 감염 확산 우려","




// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}

[앵커]이 신종  코로나바이러스는 제한된 범위지만 사람 간  전파 가능성이 있습니다. 보건당국이 국내 확산을  우려해 바짝 긴장하는  이유인데요. 당장 확진 여성과  함께 입국한  일행 5명과  승무원 등 밀폐된  항공기 내에서  접촉한 사람들을 예의주시하고  있습니다.  정은혜 기자입니다.[리포트]첫 확진 환자는 일행 5명과 함께 관광을 목적으로 어제 중국 남방항공을 타고 입국했습니다. 우한에서 인천공항까지 비행 시간은 약 3시간. 확진 여성은 밀폐된 비행기 안에서 일행들은 물론 승무원들과도 접촉했습니다. 정은경 / 질병관리본부장""앞뒤 근접한 좌석에 있는 승객과 이 환자를 담당했던 승무원 등을 밀접 접촉자로 분류해서 관리할 예정으로 있습니다.""보건당국은 전체 승객명단도 파악하고 있습니다. 사람 간 전파가 가능하기 때문입니다. 확진 여성도 우한에 살고는 있지만 바이러스가 전파된 전통시장을 방문하거나 야생동물과 접촉한 적은 없어 사람으로부터 감염됐을 가능성이 있습니다. 김우주 / 고대구로 감염내과 교수""사람 간 전파 플러스 지역 간 전파가 고속열차라든지 비행기 통해 빠르게 가속화되기 때문에 방역의 대상이 넓어지는 부분을 주시해야""태양의 코로나를 닮은 코로나바이러스는 야생동물이나 가금류를 통해 전파되는데 변종이 많습니다. 사스나 메르스가 대표적입니다. 이번 신종 코로나바이러스 역시 변종으로 전파력이나 치사율이 어느 정도인지 아직 파악된 건 없고 치료제도 없습니다. 국내에 인플루엔자가 유행하는 가운데 입출국 관광객이 늘어나는 설 연휴가 코앞이어서 보건당국은 초긴장하고 있습니다. TV조선 정은혜입니다.☞ 네이버 메인에서 TV조선 구독하기☞ 더 많은 TV조선 뉴스 보기☞ TV CHOSUN 개국 8주년 기념 이벤트* 뉴스제보 : 이메일(tvchosun@chosun.com), 카카오톡(tv조선제보), 전화(1661-0190)정은혜 기자(jung.eunhye@chosun.com)- Copyrights ⓒ TV조선. 무단전재 및 재배포 금지 -
	
"
9,밀접접촉자 추적조사 어떻게?…연휴 앞두고 방역 비상,"




// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}

 [앵커]보건당국은 확진 환자의 일행과 비행기에서 가까이 앉았던 탑승자 등 가까이 접촉한 사람들을 추적 조사하고 있습니다.이충헌 의학전문기자의 보도입니다. [리포트] 신종코로나바이러스 감염증 확진 환자는 중국남방항공편으로 입국했습니다. 이 비행기에는 승객 139명과 승무원 8명이 탑승했습니다. 확진 환자는 춘절을 맞아 일행 5명과 함께 한국을 찾았습니다. 이들 5명에겐 아직 별다른 증상은 없습니다. 보건당국은 환자가 앉았던 좌석 열을 포함해 앞뒤 3열, 모두 7열의 탑승자를  밀접 접촉자로 분류해 관리할 예정입니다. 동행자 5명도 모두 여기에 앉았습니다. 환자를 담당했던 승무원도 밀접 접촉자로 관리합니다. [정은경/질병관리본부장 : ""중국에 우한시 보건당국도 제한된 범위 내에서 특히 가족 간의 전파가 있다고 밝힌 바가 있습니다. 아마 저희 생각은 가족, 사람 간의 전파의 가능성이 있다.""] 중국 우한 발 여객기 탑승객들이 들어오는 입국 게이트에선 최고 단계의 검역이 적용 중입니다. 입국자 한 명 한 명, 일일이 체온을 재는 방식입니다. 하지만 한계는 있습니다. 잠복기이거나 해열제를 복용해  발열 등 증상이 없을 수도 있습니다. 보건당국은 우한시를 다녀와 발열과 기침 등 호흡기 증상이 있는 사람은 모두 유증상자로 분류해 격리상태에서 검사를 진행합니다. 지금까지 발생한 유증상자 7명은 검사에서 음성이 나와 모두 격리 해제됐습니다.  병원 치료를 받을 만큼 증상이 심하지 않은 우한시 방문자 14명은 능동감시 대상자로 분류해 보건소에서 주시하고 있습니다. 중국 우한 시를 다녀온 뒤 14일 이내에 발열이나 기침 등  호흡기 증상이 있는 경우 반드시 보건당국에 신고해야 합니다. KBS 뉴스 이충헌입니다.  이충헌 기자 (chleemd@kbs.co.kr)▶ 대국민 사기 방지 프로젝트 ‘속고살지마’▶ “자식한테도 무시당할걸”…감정노동자를 말한다▶ 네이버 채널 KBS뉴스 구독! 시원하게 털어드립니다

"
