,title,body
0,[단독] 회항 '보잉 항공기' 긴급 점검 통과했었다,"



동영상 뉴스






회항 여객기 美 보잉사 737NG 기종…국내 150대美 연방항공청, 보잉737NG 균열 발견…점검 요구국토부, 이달 초 보잉737NG 점검…9대 운항 중지제주항공 ""회항 원인, 균열과 무관…계기판 문제""[앵커]어젯밤 회항한 항공기는 국내 저비용 항공사들에서 주로 운항하는 보잉 737NG 기종인데요.최근 국토교통부가 긴급 점검해 균열이 발견된 9대를 운항 중단했던 기종이기도 합니다.이번에 문제가 된 항공기도 점검을 받았는데, 무사 통과했던 것으로 확인됐습니다.박소정 기자의 보도입니다.[기자]김해공항에서 이륙 40분 만에 회항한 제주항공 여객기는 미국 보잉사의 737NG 기종으로 국내에 150대를 들여왔습니다.이 계열 기종은 주로 저비용 항공사가 많이 도입해 제주항공이 45기로 가장 많고, 대한항공, 티웨이항공, 진에어, 이스타항공도 운항 중입니다.앞서 이달 초 미국 연방항공청은 보잉737NG 계열 항공기 동체 구조부에서 균열이 발견됐다며 긴급 점검과 개선을 요구했습니다.이에 국토교통부가 운항 횟수가 3만 회를 넘은 항공기 42대를 골라 긴급 점검을 벌인 결과, 9대에 동체 균열이 있었습니다.대한항공 5기, 진에어 3기, 제주항공 1기였는데, 바로 운항을 중지시켰습니다.그런데 이번에 회항한 항공기도 이 점검에 포함됐고, 무사 통과했던 것으로 확인됐습니다.이상 없다는 판정을 받은 지 얼마 되지 않아 문제가 일어난 겁니다.이에 대해 제주항공은 긴급 회항한 원인은 조정실 자동항법장치 문제라고 밝혔습니다.계기판에 문제가 있어 기장이 레이더를 보고 수동으로 착륙했다는 설명입니다.[제주항공 관계자 : 조종 장치에 문제가 있었으니까 착륙하는 과정에 혹시나 (위험) 상황이 발생할 수도 있는 경우 승객들은 이런 방법으로 탈출해야 한다고 설명해 드린 거죠.]국토부도 최근 점검과는 관련 없는 단순 계기판 문제로 본다고 선을 그었지만, 정확한 원인 규명을 위해 추가 조사를 벌이고 있습니다.[국토교통부 관계자 : (결함의) 발전성이 위험으로 갈 거 같다고 하면 저희가 특별점검도 하고 그러는데, 이건 특별점검을 할 상황은 아니고, 감독관들이 있어요. 전문 감독관들이 보고 있으니까….]국토부는 이와 함께 저비용 항공사에서 운항하는 항공기들은 주기적으로 분석하고 있다면서, 앞으로 정기 점검을 더욱 세밀하게 하겠다고 언급했습니다.YTN 박소정[sojung@ytn.co.kr]입니다. ▶ 대한민국 24시간 뉴스 채널 YTN 생방송보기  ▶ 네이버에서 YTN 뉴스 채널 구독하기  ▶ 유튜브에서 YTN스타 채널 구독하고 선물 받아 가세요! [저작권자(c) YTN & YTN PLUS 무단전재 및 재배포 금지]
	
"
1,제주항공 보잉737 기체결함 ‘비상 탈출 대비’…공포의 회항,"






 [앵커]어제(26일) 저녁 김해공항을 출발한 제주항공 여객기가 기체 이상으로 회항했습니다.승객들은 기체가 심하게 흔들리면서 회항하는 40여분 동안 극심한 공포를 느꼈다고 증언했습니다.윤봄이 기자가 보도합니다. [리포트] 어젯밤(26일) 8시 50분쯤 김해를 출발해 김포로 가던  제주항공 여객기. 이륙 20분쯤 뒤, 기체가 흔들리기 시작했고 실내등이 꺼지면서 '비상탈출'에 대비하라는 안내 방송이 나왔습니다.[기내 안내 방송 : ""비상 탈출할 가능성이 있습니다. 그럴 때 우왕좌왕하시면 안 되고 모든 짐 다 버리셔야 합니다.""] 승객 182명은 40분 넘게 공포에 떨어야 했습니다.[김영순/여객기 탑승객 : ""짐을 다 버리시고 구두를 버리시고 막 엎드리시라면서 막 이러고. 그때부터 심장이 뛰기 시작하는 거예요. '아이고, 죽었구나' 싶대요.""] 김해로 회항해 무사히 착륙했지만, 승객들은 거세게 항의했습니다. 이륙도 1시간 20분 정도 늦어져 기체에서 대기했다며, 항공사 측이 문제를 인지하고도 무리하게 운항했다는 겁니다. 특히, 회항한 여객기 기종은 보잉 737 NG 계열로, '동체 균열' 문제 때문에 최근 국토부가 검사까지 한  기종입니다. 그러나 국토부와 제주항공은 이번엔 자동조종장치 문제로, 동체 균열과는 무관하다는 입장입니다. 오늘(26일) 낮 경부고속도로에서는 버스 간 추돌 사고로 소방 공무원 2명 등 5명이 다쳤습니다. 대전현충원에서 열린 순직 소방공무원 추모 행사에 참석했다 서울로 돌아가는 길이었는데, 다친 사람 모두 생명엔 지장은 없는 것으로 전해졌습니다. 오늘(26일) 아침 서울 북촌한옥마을 인근 한옥 주택에서  불이 났습니다. 보일러실에서 시작된 것으로 추정되는 이 불로  소방서 추산 3천 3백여만 원의 재산피해가 났습니다. 전남 목포에선 해상케이블카 승강장 에스컬레이터가 갑자기 멈추면서 승객 16명이 넘어져 다쳤습니다. 경찰은 관리자 등을 상대로 사고 경위를 조사하고 있습니다. KBS 뉴스 윤봄이입니다.윤봄이 기자 (springyoon@kbs.co.kr)▶ 콕! 찍어주는 재미 ‘크랩(KLAB)’▶ ‘여심야심(與心ㆍ野心)’ 취재기자가 전하는 국회 뒷 이야기▶ 네이버 채널 KBS뉴스 구독! 시원하게 털어드립니다

"
2,"美, 아바나 뺀 쿠바 전 지역 항공기 운항 금지…왜?","






쿠바 외교부는 ‘항의’도널드 트럼프 미국 정부가 올 12월부터 아바나를 제외한 쿠바의 모든 도시로의 미국 항공편 운항을 금지하기로 했다. [AP][헤럴드경제] 미국이 아바나를 제외한 쿠바 전 지역으로의 항공기 운항을 금지하는 조처를 내렸다고 AP통신 등이 25일(현지시간) 보도했다.미국 교통부는 “쿠바 정권에 대한 경제 제재를 강화하라”는 마이크 폼페이오 미 국무장관의 주문에 따라 오는 12월 10일부터 이 조치를 시행할 것이라고 밝혔다.폼페이오 장관은 이날 트위터로 “이번 조치는 카스트로 정권이 미국 비행으로 이익을 얻고, 이를 이용해 쿠바 국민을 억압하는 일을 막을 것”이라고 강조했다.도널드 트럼프 행정부는 쿠바가 니콜라스 마두로 베네수엘라 정권을 지원하고 자국민의 인권을 탄압한다는 이유로 제재를 가해 왔다.앞서 미 국무부는 쿠바 라울 카스트로 공산당 총서기와 그의 자녀 4명에 대해 미국 입국을 금지하는 조치를 단행한 바 있다. 아울러 미국은 자국 크루즈선의 쿠바 방문을 금지하고, 베네수엘라에서 쿠바로 석유를 실어나르는 유조선에 제재를 가하는 등 압박을 넣기도 했다.이번 조치에 따라 미국 항공사들은 쿠바에서 수도 아바나를 제외한 다른 모든 국제공항으로 항공편을 보낼 수 없게 된다. 다만 전세기는 운항금지 대상에 포함되지 않는다.쿠바행 항공편 이용객들 대부분은 고향을 찾는 쿠바계 미국인으로, 지난해에만 50만명의 쿠바계 미국인이 쿠바를 방문한 것으로 파악되고 있다.운항금지 조치가 시행되는 시기는 이들이 크리스마스와 연말 직전 가족과 재회하기 위해 고향으로 대거 이동할 때와 맞물린다. 따라서 수도 아바나 외 지역을 찾는 이들은 이제 아바나 공항에서 내린 후 육로로 최대 12시간을 이동하는 불편을 감수해야 할 것으로 예상된다.이에 대해 쿠바 외교 당국자들은 이번 조치에 대해 즉각 반발했다.브루노 로드리게스 쿠바 외교장관은 이날 트위터로 “이번 조치는 시민들의 자유를 제한한다”며 “이번 제재로 인해 쿠바가 미국의 요구를 받아들이지는 않을 것”이라고 말했다.카를로스 페르난데스 데 코시오 쿠바 외교부 미국 담당 국장도 트위터에서 “쿠바의 굳건한 저항을 응징하기 위해 제국주의가 쿠바 도시로 향하는 항공편들을 노리고 있다”며 “우리의 대응은 변하지 않을 것”이라고 밝혔다.onlinenews@heraldcorp.com▶네이버에서 헤럴드경제 채널 구독하기▶환절기 건강관리를 위한 추천템! 헤럴드 리얼라이프 ▶헤럴드경제 사이트 바로가기 - Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -
	
"
3,"""비상탈출 가능성이…""..제주항공 초긴장속 43분만에 회항","






	
	[머니투데이 이건희 기자]  제주항공 항공기. /사진=제주항공""비상탈출할 가능성이 있습니다. 우왕좌왕하시면 안 되고 모든 짐을 다 버리셔야 합니다. 최대한 앞좌석하고 밀착해야 합니다.""지난 25일 김해공항에서 김포공항으로 향하던 제주항공 국내선 여객기가 기체 이상으로 회항할 때 나온 안내방송이다. 실제로 제주항공에 따르면 이날 오후 8시51분 김해공항을 이륙한 제주항공 7C207편 항공기가 이륙 43분 만인 오후 9시34분 김해공항으로 돌아왔다. 제주항공 관계자 26일 ""기상 문제에 따른 회항은 안내만 하면 되지만 조종장치 문제는 승객에게 비상착륙 등을 안내하게 돼 있다""며 ""만약의 상황을 대비해 혹시라도 비상착륙해야 하는 경우를 안내한 것""이라고 설명했다. 이 항공기는 당초 오후 7시30분에 출발할 예정이었다. 그러나 조종장치 쪽 이상으로 정비를 하고 1시간 가량 지연 출발을 했다. 이어 이륙했지만 조종장치 문제가 다시 발견돼 여객기는 김해공항으로 회항했다. 제주항공 관계자는 ""당시 매뉴얼에 따라 회항하는 과정에서 만약의 상황을 대비한 비상착륙에 대한 안내가 승객에게 이뤄졌다""며 ""승객들에게 보상금을 지급할 것""이라고 말했다. 제주항공은 승객들에게 숙소를 제공하고 다음날 임시 항공편을 운행했다. 이에 따라 승객 182명 중 93명은 이날 오전 6시52분 대체 항공편을 타고 김포공항으로 출발했다. 한편 이번에 회항한 여객기는 최근 결함이 발견돼 항공사들이 긴급 점검에 나선 보잉 737NG와 같은 기종이다. 다만 제주항공 측은 동체 구조부의 균열 문제로 이번 사안과 관련이 없다고 밝혔다.이건희 기자 kunheelee@mt.co.kr▶바람피운 남편 이혼 요구한다면 [변호사상담]▶CEO 만든 엄마의 교육법 [투자노트] ▶네이버 구독 <저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>
	
"
4,[단독] 회항 '보잉 항공기' 긴급 점검 통과했었다,"



동영상 뉴스






회항 여객기 美 보잉사 737NG 기종…국내 150대美 연방항공청, 보잉737NG 균열 발견…점검 요구국토부, 이달 초 보잉737NG 점검…9대 운항 중지제주항공 ""회항 원인, 균열과 무관…계기판 문제""[앵커]어젯밤 회항한 항공기는 국내 저비용 항공사들에서 주로 운항하는 보잉 737NG 기종인데요.최근 국토교통부가 긴급 점검해 균열이 발견된 9대를 운항 중단했던 기종이기도 합니다.이번에 문제가 된 항공기도 점검을 받았는데, 무사 통과했던 것으로 확인됐습니다.박소정 기자의 보도입니다.[기자]김해공항에서 이륙 40분 만에 회항한 제주항공 여객기는 미국 보잉사의 737NG 기종으로 국내에 150대를 들여왔습니다.이 계열 기종은 주로 저비용 항공사가 많이 도입해 제주항공이 45기로 가장 많고, 대한항공, 티웨이항공, 진에어, 이스타항공도 운항 중입니다.앞서 이달 초 미국 연방항공청은 보잉737NG 계열 항공기 동체 구조부에서 균열이 발견됐다며 긴급 점검과 개선을 요구했습니다.이에 국토교통부가 운항 횟수가 3만 회를 넘은 항공기 42대를 골라 긴급 점검을 벌인 결과, 9대에 동체 균열이 있었습니다.대한항공 5기, 진에어 3기, 제주항공 1기였는데, 바로 운항을 중지시켰습니다.그런데 이번에 회항한 항공기도 이 점검에 포함됐고, 무사 통과했던 것으로 확인됐습니다.이상 없다는 판정을 받은 지 얼마 되지 않아 문제가 일어난 겁니다.이에 대해 제주항공은 긴급 회항한 원인은 조정실 자동항법장치 문제라고 밝혔습니다.계기판에 문제가 있어 기장이 레이더를 보고 수동으로 착륙했다는 설명입니다.[제주항공 관계자 : 조종 장치에 문제가 있었으니까 착륙하는 과정에 혹시나 (위험) 상황이 발생할 수도 있는 경우 승객들은 이런 방법으로 탈출해야 한다고 설명해 드린 거죠.]국토부도 최근 점검과는 관련 없는 단순 계기판 문제로 본다고 선을 그었지만, 정확한 원인 규명을 위해 추가 조사를 벌이고 있습니다.[국토교통부 관계자 : (결함의) 발전성이 위험으로 갈 거 같다고 하면 저희가 특별점검도 하고 그러는데, 이건 특별점검을 할 상황은 아니고, 감독관들이 있어요. 전문 감독관들이 보고 있으니까….]국토부는 이와 함께 저비용 항공사에서 운항하는 항공기들은 주기적으로 분석하고 있다면서, 앞으로 정기 점검을 더욱 세밀하게 하겠다고 언급했습니다.YTN 박소정[sojung@ytn.co.kr]입니다. ▶ 대한민국 24시간 뉴스 채널 YTN 생방송보기  ▶ 네이버에서 YTN 뉴스 채널 구독하기  ▶ 유튜브에서 YTN스타 채널 구독하고 선물 받아 가세요! [저작권자(c) YTN & YTN PLUS 무단전재 및 재배포 금지]
	
"
5,"제주항공 보잉 737NG 회항, '공포의 43분'…""롤러코스터처럼 흔들렸다""","






25일 김해공항을 출발해 김포공항으로 향하던 제주항공 여객기가 이륙 43분 만에 기체 이상으로 회항했다.  / 사진=연합뉴스[아시아경제 임주형 인턴기자] 김해공항에서 이륙해 김포공항으로 향하던 제주항공 여객기가 기체 이상으로 회항했다.26일 'YTN'에 따르면 전날(25일) 오후 8시51분께 김해공항을 이륙해 김포공항으로 가던 제주항공 7C 207편(탑승객 182명) 항공기가 이륙 43분 만인 오후 9시34분께 김해공항으로 회항했다.항공기에 탑승했던 한 승객은 YTN을 통해 ""이륙한 기체가 롤러코스터처럼 위아래로 흔들렸다""며 ""불시착을 준비하라는 기내 방송에 공포를 느꼈다""고 당시 심경을 전하기도 했다.제주항공 측은 기체의 자동 조종 장치에 이상 신호가 떠 매뉴얼에 따라 회항했다고 설명했다.해당 항공편은 당초 오후 7시30분 이륙 예정이었으나 안전점검 등 일정이 늦어지면서 1시간20여분 늦은 오후 8시50분께 출발했던 것으로 전해졌다.여객기에 탑승했던 승객 182명 가운데 93명은 26일 오전 6시52분께 대체 항공편에 탑승, 김포공항으로 출발했다.그러나 일부 승객들은 여객기 결함 여부 등 명확한 회항 이유를 설명해 달라며 항공사 관계자들에 항의한 것으로 알려졌다.한편 해당 항공기는 최근 미국에서 결함이 발견돼 논란이 불거졌던 보잉 737NG 기종이다. 이와 관련 제주항공 측은 문제가 됐던 보잉 737NG 기종의 결함은 동체 구조부 균열 문제로, 이번 회항과는 관련 없다고 설명했다.임주형 인턴기자 skepped@asiae.co.kr▶ 신강재강(身强財强) 해야 부자사주라고? 나는?▶ 초간단 퀴즈 풀고, 아이패드 받자!  ▶ 재미와 지식이 가득한 '과학을읽다'<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>
	
"
6,"[단독] 회항 '보잉 항공기' 국토부 긴급 점검 통과...제주항공 ""기종 결함 무관""","



동영상 뉴스






회항 여객기 美 보잉사 737NG 기종…국내 150대국토부, 이달 초 보잉737NG 점검…9대 운항 중지제주항공 ""회항 원인, 균열과 무관…계기판 문제""[앵커]어젯밤 회항한 항공기는 국내 저비용 항공사들에서 주로 운항하는 보잉 737NG 기종인데요.최근 국토교통부가 긴급 점검해 균열이 발견된 9대를 운항 중단했던 기종이기도 합니다.이번에 문제가 된 항공기도 점검을 받았는데, 무사 통과했던 것으로 확인됐습니다.박소정 기자의 보도입니다.[기자]김해공항에서 이륙 40분 만에 회항한 제주항공 여객기는 미국 보잉사의 737NG 기종으로 국내에 150대를 들여왔습니다.이 계열 기종은 주로 저비용 항공사가 많이 도입해 제주항공이 45기로 가장 많고, 대한항공, 티웨이항공, 진에어, 이스타항공도 운항 중입니다.앞서 이달 초 미국 연방항공청은 보잉737NG 계열 항공기 동체 구조부에서 균열 결함이 발견됐다며 긴급 점검과 개선을 요구했습니다.이에 국토교통부가 운항 횟수가 3만 회를 넘은 항공기 42대를 골라 긴급 점검을 벌인 결과, 9대에 동체 균열이 있었습니다.대한항공 5기, 진에어 3기, 제주항공 1기였는데, 바로 운항을 중지시켰습니다.그런데 이번에 회항한 항공기도 이 점검에 포함됐고, 무사 통과했던 것으로 확인됐습니다.이상 없다는 판정을 받은 지 얼마 되지 않아 문제가 일어난 겁니다.이에 대해 제주항공은 긴급 회항한 원인은 조정실 자동항법장치 문제라고 밝혔습니다.계기판에 문제가 있어 기장이 레이더를 보고 수동으로 착륙했다는 설명입니다.[제주항공 관계자 : 조종 장치에 문제가 있었으니까 착륙하는 과정에 혹시나 (위험) 상황이 발생할 수도 있는 경우 승객들은 이런 방법으로 탈출해야 한다고 설명해 드린 거죠.]국토부도 최근 점검과는 관련 없는 단순 계기판 문제로 본다고 선을 그었지만, 정확한 원인 규명을 위해 추가 조사를 벌이고 있습니다.[국토교통부 관계자 : (결함의) 발전성이 위험으로 갈 거 같다고 하면 저희가 특별점검도 하고 그러는데, 이건 특별점검을 할 상황은 아니고, 감독관들이 있어요. 전문 감독관들이 보고 있으니까….]국토부는 이와 함께 저비용 항공사에서 운항하는 항공기들은 주기적으로 분석하고 있다면서, 앞으로 정기 점검을 더욱 세밀하게 하겠다고 언급했습니다.YTN 박소정[sojung@ytn.co.kr]입니다. ▶ 대한민국 24시간 뉴스 채널 YTN 생방송보기  ▶ 네이버에서 YTN 뉴스 채널 구독하기  ▶ 유튜브에서 YTN스타 채널 구독하고 선물 받아 가세요! [저작권자(c) YTN & YTN PLUS 무단전재 및 재배포 금지]
	
"
7,"""공포의 40분""...제주항공 '기체 이상' 긴급회항","



동영상 뉴스






김해공항 이륙 직후 항공기 흔들리며 이상 징후기체 이상으로 비상 착륙 대비 경고 방송일부 승객, 항공사 결함 등 해명 요구하며 항의[앵커]어젯밤 김해공항을 출발해 김포공항으로 향하던 제주항공 여객기가 긴급 회항했습니다.이 과정에서 기체가 흔들리며 비상착륙까지 대비할 정도로 180여 명 승객들이 40여 분간 공포에 떨었습니다.당시 긴박했던 기내 모습, 신윤정 기자가 전합니다.[기자]어젯밤 8시 50분쯤, 김포공항으로 가기 위해 김해공항을 이륙한 제주항공 7C207편 기내 모습입니다.승객 184명을 태우고 이륙 10분가량 지난 뒤, 갑자기 항공기에 이상 징후가 나타나기 시작했습니다.[제주항공 탑승 승객 : 롤러코스터처럼 올라갔다가 갑자기 싸늘하게 내려갔다가 그런 게 있었어요. 기체도 약간 흔들리고 좌측으로…]이렇게 10여 분을 더 비행한 뒤 실내등이 꺼졌고 급기야 비상 착륙에 대비하라는 경고 방송까지 나옵니다.[제주항공 기내 안내 방송 : 비상탈출할 가능성이 있습니다. 우왕좌왕하시면 안 되고 모든 짐 다 버리셔야 됩니다. 최대한 앞좌석하고 밀착하셔야 됩니다.]흔들리는 기체에서 비상탈출 안내가 나오자 기내 승객들은 공포에 휩싸였습니다.[제주항공 탑승 승객 : 여성분들은 뒤에서 흐느껴 우는 사람도 있었고 종교 있으신 분들은 하늘에 계신 아버지라면서 주문을 외우기도 하셨죠.]이렇게 가슴을 졸이게 했던 공포의 비상 상황은 김해로 회항할 때까지 40분간 이어졌습니다.항공기가 활주로에 무사히 멈춰 서자 그제야 승객들은 안도의 박수를 칩니다.긴박한 상황에도 승객들 모두 침착하게 승무원들의 안내에 따라 큰 혼란은 없었습니다.제주항공 측은 승객들에게 숙소를 제공하고 오늘(26일) 아침 대체 항공편을 제공했습니다.[제주항공 탑승 승객 : 호텔을 갑자기 섭외한다는 게 쉽지 않았을 것 같고요. 그냥 살아 돌아온 것만 해도 감사하게 생각했습니다.]그러나 일부 승객들은 항공기 결함 여부 등 명확한 회항 이유를 설명해 달라며 항공사 관계자들에게 항의했습니다.YTN 신윤정입니다. ▶ 대한민국 24시간 뉴스 채널 YTN 생방송보기  ▶ 네이버에서 YTN 뉴스 채널 구독하기  ▶ 유튜브에서 YTN스타 채널 구독하고 선물 받아 가세요! [저작권자(c) YTN & YTN PLUS 무단전재 및 재배포 금지]
	
"
8,김해공항서 제주항공 항공기 긴급 회항,"






어제(25일) 오후 8시 50분쯤 김해공항을 출발해 김포공항으로 가던 제주항공 항공기가 기체 이상으로 40여 분 만에 다시 계류장으로 돌아왔습니다.제주항공 7C 207편 항공기는 당초 오후 7시 반 출발 예정이었지만 항공기 정비문제로 출발이 지연됐고,  이륙 뒤 계기판 자동 조종 장치에 이상 신호가 뜨면서 긴급 회항했습니다.탑승객 182명 가운데 93명은 오늘 오전 6시 50분쯤 대체 항공편을 타고 김해공항으로 출발했으며, 나머지 승객은 일정을 변경하거나 비행을 취소했습니다.회항한 항공기는 미국 보잉사가 생산한 기종으로 최근 구조적 결함이 발견돼 항공사들이 긴급 점검에 나서기도 했습니다.현지호 기자 [저작권자(c) MBC (www.imnews.com) 무단복제-재배포 금지]▶ 네이버 홈에서 [MBC뉴스] 채널 구독하기▶ [엠빅뉴스] 코치로 깜짝 변신한 캡틴 손, 그가 직접 말하고 시범 보인 골대 앞 ‘슈팅 비법’은 무엇?▶ [14F] 안심스티커 등판! 그런데 추가 요금 받는 일부 가맹점도 등장?? Copyright(c) Since 1996, MBC&iMBC All rights reserved.
	
"
9,"美, 수도 제외 쿠바 전 지역 운항금지…제재 강화","






    미국이 아바나를 제외한 쿠바 전 지역으로의 항공기 운항을 금지하는 조처를 내렸다고 로이터·AP통신 등 외신이 어제(25일,현지시간) 보도했습니다. 미국 교통부는 ""쿠바 정권에 대한 경제 제재를 강화하라""는 마이크 폼페이오 미 국무장관의 주문에 따라 오는 12월 10일부터 이 조치를 시행할 것이라고 밝혔습니다.    도널드 트럼프 행정부는 쿠바가 니콜라스 마두로 베네수엘라 정권을 지원하고 자국민의 인권을 탄압한다는 이유로 제재를 가해왔습니다.    이번 조치에 따라 미국 항공사들은 쿠바에서 수도 아바나를 제외한 다른 모든 국제공항으로 항공편을 보낼 수 없게 됩니다.   로이터에 따르면 쿠바행 항공편 이용객들 대부분은 고향을 찾는 쿠바계 미국인입니다.[사진 출처 : 로이터=연합뉴스]남종혁 기자 (namjh@kbs.co.kr)▶ 콕! 찍어주는 재미 ‘크랩(KLAB)’▶ ‘여심야심(與心ㆍ野心)’ 취재기자가 전하는 국회 뒷 이야기▶ 네이버 채널 KBS뉴스 구독! 시원하게 털어드립니다

"
