,title,body
0,'보잉737' 불안 확산…해당 기종 쓰던 저가항공사 어쩌나,"



동영상 뉴스






[앵커]보잉737 맥스 기종의 운항을 중단했던 미국 아메리칸항공사와 사우스웨스트항공이 그 기간을 내년 3월까지 연장하기로 했습니다. 당초 12월에는 이 기종을 다시 띄우기로 했지만, 아직 안전성이 입증이 안 돼 늦추기로 한 겁니다. 최근 구기종과 신기종에서 기체 내부 균열이나 소프트웨어 결함 같은 문제가 잇따라 발견되면서 737 기종에 대한 불안감도 커진 상황인데요, 지금 국내 저가항공사들이 가장 많이 사용하는 기종 역시 바로 보잉737입니다. 이 중 일부는 역시 운항 정지에 들어가 있는데, 연말엔 737을 기반으로 하는 또 다른 저가항공사가 나올 예정입니다.이윤석 기자입니다.[기자]항공기는 기종마다 면허가 다릅니다.항공사가 새로운 기종을 투입할 경우, 조종사와 정비 인력 등을 새로 뽑아야 합니다.그래서 저가항공사들은 단일 기종으로 운영하는데, 특히 200명 정도를 태우고 가는 단거리 노선에 적합한 보잉 737을 많이 택했습니다.[저가항공사 관계자 : 항공사 하나 차리는 게 더 빠를 수도 있어요. 다 다르니까요. 자격증도 갖춰야 하고 정비인력, 조종인력, 자격 사항도 다 달라야 하니까요.]문제는 중대한 결함이 발견됐을 경우입니다.국내에서 현재까지 기체 내부 균열 문제로 운항이 중단된 737 항공기는 모두 11대입니다.최신 기종인 737 맥스 모델 2대는 소프트웨어 결함 문제로 수개월째 방치돼 있습니다.점검이 끝나지 않았기 때문에 운항이 중단되는 항공기가 더 나올 수 있습니다.항공사뿐 아니라 제조사도 위기에 처했습니다.보잉 측은 ""현재까지 전 세계적으로 1100대 이상의 기체를 검사한 결과, 5% 미만의 기체에서 균열이 발견됐다""며 ""항공사들과 긴밀하게 협조해 빠른 시일 안에 안전하게 비행할 수 있도록 노력하겠다""고 했습니다.이런 가운데 연말엔 737을 기반으로 하는 저가항공사가 새로 출범합니다.(화면출처 : 강원도)(영상디자인 : 김충현)이윤석 기자 (americano@jtbc.co.kr) [영상편집: 강한승]▶ JTBC 뉴스 제보하기 ▶ 놓친 '뉴스룸' 다시보기▶ 확 달라진 'JTBC 뉴스APP' 이슈·라이브까지 한눈에!Copyright by JTBC(http://jtbc.joins.com) and JTBC Content Hub Co., Ltd. All Rights Reserved. 무단 전재 및 재배포 금지

"
1,"美 항공사, 보잉737맥스 운항 중단 내년 3월 초까지","






美 항공사, 보잉737맥스 운항 중단 내년 3월 초까지KBS▶ 콕! 찍어주는 재미 ‘크랩(KLAB)’▶ ‘여심야심(與心ㆍ野心)’ 취재기자가 전하는 국회 뒷 이야기▶ 네이버 채널 KBS뉴스 구독! 시원하게 털어드립니다

"
2,"제주도, 제주·원동항공과 TOP3 대만 관광객 유치 '맞손'","






지난해 방한 관광객 대만 3위…제주-대만 4개사서 주 14회 운항 공동 마케팅 강화…타이베이국제여전 참가 제주상품 홍보 주력  [제주=좌승훈 기자] 제주특별자치도가 제주와 대만을 잇는 직항 노선 항공사를 대상으로 대만 관광객 유치 확대를 위한 공동 마케팅에 적극 나서고 있다.  도는 7~11일 대만 타이베이 난강전람관에서 열리고 있는 한국관광공사 주최 한국문화관광대전 및 타이베이국제여전(2019 Taipei International Travel Fair)에 참가해 홍보관을 운영하는 한편 원동항공과 제주항공을 잇달아 방문해 공동 프로모션을 추진키로 합의했다.  지난해 방한 외국인 관광객은 1위가 중국(479만명), 2위 일본(295만명), 3위 대만(111만명), 4위 미국(97만명), 5위 홍콩(68만명) 순이다. 특히 제주-대만 직항노선은 기존 3개 항공사(타이거항공·원동항공·이스타항공)에 이어 지난 10월부터 제주~타이베이와 제주~가오슝 노선에 신규 취항한 제주항공까지 총 4개사·주 14회(편도)이 운항돼 대만 관광객 유치활동에 활력이 되고 있다.  도는 우선 제주항공과는 대만 제2도시인 가오슝지역 주요 여행업계 초청 팸투어를 오는 15~ 19일 진행키로 했다.  제주항공은 10월 가오슝 노선 시범운항에 이어 11월 15일부터 가오슝-제주 노선을 정기노선으로 편성해 운항할 예정이다. 도는 이에 따라 가오슝 주요 여행업계(강복·웅사·동남·첩리여행사)와 한국관광공사 타이베이지사 관계자를 초청해 제주의 가을 콘텐츠(억새·핑크뮬리·단풍)과 주요 포토 스팟을 알릴 예정이다.  또 신규 취항노선 활성화와 함께 겨울철 대만 관광객 유치 활성화를 위해 공동으로 대만 현지 소비자 행사와 온·오프라인 홍보마케팅을 적극 추진키로 했다.    원동항공과는 20세 이상 여성층을 타깃으로 대만 주요 온라인 채널(페이스북·인스타그램·유튜브·백패커)을 통해 자유여행·힐링 등 키워드 광고와 댓글 이벤트를 진행한 데 이어, 오는 11월 말까지 주요 지하철역(대안역·남경부흥역·중산역) 전광판 광고를 진행하고 있다.  루기룽 원동항공 부총경리는 “제주시장은 대만에서 인지도가 높고 젊은층들에게 선호도가 높은 관광 목적지이자 원동항공의 주요 국제노선”이라며 “향후 증편운항을 비롯해 제주도와 적극 협력해 나가겠다”고 밝혔다.  도는 또 대만 최대의 한국 아웃바운드 여행사인 강복여행사(Cola tour) 완리향 부총경리와도 만나 인센티브 관광 활성화에 적극 협력키로 했다.  아울러 도는 제주관광공사, 제주관광협회, 도내 7개 업체와 공동으로 타이베이 국제여전을 통해 ‘제주, 설레는 섬 여행(齊州, 心動島旅)’을 주제로 제주관광 홍보부스와 제주해녀 테마존을 운영하고 온라인 이벤트도 진행했다.  강영돈 도 관광국장은 “대만시장은 잇단 직항노선 개설로 접근성이 강화돼 월 평균 90% 이상 성장세를 보이고 있어 해외 관광시장 다변화 전략의 1순위 시장”이라며 “직항노선의 안정적 유지와 광광객 유치 활성화를 위해 항공사와 공동 마케팅을 더욱 강화해 나가겠다”고 말했다.   jpen21@fnnews.com 좌승훈 기자   ▶ 헉! 소리나는 스!토리 뉴스 [헉스]▶ 클릭해, 뉴스 들어간다 [뉴스쿨] ▶ 세상에 이런일이 [fn파스]  ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지
	
"
3,"'대만 관광객 잡아라' 제주도, 직항항공사와 공동마케팅","






	
	제주항공·원동항공과 온·오프라인 홍보 나서 (제주=연합뉴스) 백나용 기자 = 제주도는 제주∼대만 노선을 운항하는 제주항공·원동항공과 손잡고 대만 관광객 유치를 위한 공동 마케팅을 강화해 나갈 방침이라고 9일 밝혔다. 타이베이 국제여전(ITF)에서 운영 중인 제주 관광 브랜드 홍보관[제주도 제공]    우선 제주도는 제주항공과 오는 15일부터 19일까지 대만 제2의 도시인 가오슝 지역 주요 여행업체를 초청해 팸투어를 진행한다.    제주항공은 지난달 가오슝 노선 시범 운항에 이어 15일부터 제주∼가오슝 노선을 정기노선으로 편성해 운항할 예정으로, 이번 팸투어에서 억새와 핑크뮬리, 단풍 등 제주의 가을 콘텐츠와 사진 명소 등을 홍보할 예정이다.    또 신규 취항노선 활성화 등을 위해 대만 현지 소비자 행사와 온·오프라인 홍보마케팅을 적극적으로 추진한다는 계획이다.    제주도는 원동항공사와는 이달 말까지 대만 주요 지하철역에서 전광판 광고를 진행하고 있다.    앞서 원동항공사는 20세 이상 여성층을 타깃으로 대만 주요 온라인 채널을 통해 '자유여행', '힐링' 등 키워드광고와 댓글 이벤트를 진행했다.    루기룽 원동항공 부총경리는 ""제주는 대만에서 인지도가 높고 젊은 층에 선호도가 높은 관광 목적지""라며 ""제주 노선의 증편을 검토하고 있다""는 의사를 밝혔다고 제주도는 전했다.    아울러 도는 관광공사, 관광협회 등과 공동으로 지난 7일부터 11일까지 일정으로 타이베이 국제여전(ITF)에 참가, '제주, 설레는 섬 여행'을 주제로 제주 관광 브랜드를 홍보해 호응을 얻고 있다.    강영돈 도 관광국장은 ""대만은 접근성 강화로 월평균 90% 이상의 성장세를 보인다""며 ""직항노선을 안정적으로 유지하기 위해 항공사와 해외 관광객 유치를 위한 공동 마케팅을 강화해 나가겠다""고 말했다.    제주∼대만 직항노선은 기존 3개 항공사(원동항공, 타이거항공, 이스타항공)에서 지난달 제주항공의 타이베이·가오슝 노선이 신규 취항하면서 총 4개 항공사, 주 14편(편도)으로 증편돼 운항하고 있다.    dragon.me@yna.co.kr▶확 달라진 연합뉴스 웹을 만나보세요▶네이버 [연합뉴스] 채널 구독   ▶뭐 하고 놀까? #흥

"
4,"이륙 전 항공기 비상문 뜯은 승객, 잡고보니 '만취' 상태","






사진=게티이미지태국에서 술취한 승객이 이륙 직전 항공기 내 비상구 문을 뜯었다. 일간 방콕포스트 등 태국 현지 언론은 9일 ""지난 6일(현지시간) 태국 치앙마이 국제공항에서 방콕 수완나품 공항으로 향하려던 저가 항공사 '타이 스마일' 소속 항공기에서 취객이 비상구 문을 뜯었다""고 보도했다. 해당 항공기엔 승객 86명이 탑승했고, 이륙을 앞두고 공항 활주로에서 대기하고 있었다. 이 취객은 갑자기 비행기 왼쪽 날개 부근 비상구 쪽 문으로 뛰어가 문을 잡아당겼고, 결국 문은 뜯겨 나갔다. 취객의 난동으로 비상 탈출용 슬라이드가 작동돼 기체 밖으로 펼쳐졌다. 놀란 승객들이 동요하면서 소동도 벌어진 것으로 알려졌다. 취객은 기장의 연락을 받고 출동한 보안요원에게 제압됐고, 두 팔과 두 발을 묶어 공항 보안 당국에 인계했다. 취객의 국적과 이름은 공개되지 않았다. 하지만 보도 사진을 통해 금발에 백인 젊은이라는 사실이 알려졌다. 취객의 난동 동기도 알려지지 않았다. 하지만 태국 법규에 따라 나쁜 의도로 이런 행동을 한 것으로 드러날 경우에는 징역 5년 형까지 처해질 수 있다. 타이 스마일 측은 이번 사고로 발생한 재산상의 피해가 60만 바트(약 2280만원) 이상이 될 것으로 보인다고 밝혔다.김소연 한경닷컴 기자 sue123@hankyung.com기사제보 및 보도자료 newsinfo@hankyung.com▶ 네이버에서 한국경제 뉴스를 받아보세요▶ 한경닷컴 바로가기  ▶ 모바일한경 구독신청 ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지
	
"
5,"'술 취한 승객' 이륙 직전 항공기 비상구 문 뜯어…""2000만원 피해""","






	
	태국에서 술에 취한 것으로 알려진 한 승객이 이륙 직전 항공기 비상구의 문을 뜯어내는 일이 발생했다.9일 일간 방콕포스트와 영국 데일리메일 온라인판 등에 따르면 지난 6일(현지시간) 오후 태국 북부 치앙마이 국제공항을 떠나 방콕 수완나품 공항으로 향하려던 저비용항공사(LCC) '타이 스마일' 소속 WE169편 A320 항공기에서 사건이 발생했다. 승객 86명이 타고 있던 이 항공기는 당시 이륙을 앞두고 공항 활주로에서 대기 중이었다.이때 갑자기 한 승객이 자리에서 일어나더니 비행기 왼쪽 날개 부근 비상구 쪽으로 뛰어갔다.그는 비상구 문을 잡아당겼고 결국 이 문은 뜯겨 나갔다. 비상 탈출용 슬라이드가 부풀어 오르면서 기체 밖으로 펼쳐졌고 놀란 승객들은 소리를 지르는 등 소동이 펼쳐진 것으로 알려졌다.기장은 즉시 항공기 운항을 멈추고 보안요원들에게 연락해 문제의 승객을 제압하도록 했다.승객들에 따르면 비상구 문을 뜯어낸 이 승객은 술에 취했던 것으로 전해졌다. 타이 스마일 측은 이번 사고로 발생한 재산상의 피해가 60만 바트(약 2280만원) 이상이 될 것으로 보인다고 밝혔다.데일리안 스팟뉴스팀  (spotnews@dailian.co.kr)ⓒ (주)데일리안 - 무단전재, 변형, 무단배포 금지
	
"
6,"美항공사, '보잉737맥스' 운항 재개 일정 또 연기","






아메리칸· 사우스웨스트항공내년 3월까지 운항 중단키로[이데일리 윤종성 기자] 미국 아메리칸항공과 사우스웨스트항공이 8일(현지시간) 보잉 737 맥스 기종의 운항 중단을 내년 3월 초까지 연장한다. 로이터·DPA통신 등에 따르면 미국 최대 항공사인 아메리칸 항공은 보잉 737 맥스 여객기 운항 재개 시점을 내년 3월 5일로 연기하기로 했다. 아메리칸항공은 운항 재개 일정을 12월 3일에서 1월 16일로 미룬 데 이어, 한 차례 더 연기한 것이다. 아메리칸 항공은 해당 기종 여객기의 안정성이 입증되면 상업 비행에 나서기 전, 자사 직원을 대상으로 시험 운항을 할 계획이라고 밝혔다.내년 2월 8일까지 보잉 737 맥스 기종의 모든 항공편을 취소한 사우스웨스트항공도 내년 3월 6일께 운항 재개가 가능할 것으로 내다봤다.다만, 사우스웨스트항공은 추후 상황에 따라 운항 재개 일정이 미뤄질 수 있다고 부연했다. 사우스웨스트항공은 보잉사의 B737 맥스 기종을 가장 많이 운항하는 항공사다.이들 항공사는 지난해 10월과 지난 3월 인도네시아 라이언에어와 에티오피아항공의 보잉 737 맥스 기종이 추락해 모두 346명의 희생자가 발생한 참사 이후 해당 기종을 이용한 사업 계획을 대대적으로 축소하고, 일평균 300편이 넘는 항공편 운항을 중단했다.아메리칸 항공의 경우 737맥스 항공편 중단으로 올해 5억4000만 달러(약 6250억원)에 달하는 손실을, 사우스웨스트 항공은 4억3500만 달러(약 5035억원)의 손실을 본 것으로 추산된다.윤종성 (jsyoon@edaily.co.kr)네이버 홈에서 ‘이데일리’ 뉴스 [구독하기▶]꿀잼가득 [영상보기▶] , 청춘뉘우스~ [스냅타임▶]＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞

"
7,"워커힐 더글라스 하우스, 서울 최고 호텔…트립 어드바이저 여행객 선정","






지난해 4월 리뉴얼 오픈하며 독립 브랜드 출범'어른들을 위한 휴식 공간' 콘셉트 '노 키즈 존'【서울=뉴시스】워커힐 더글라스 하우스 외관【서울=뉴시스】김정환 기자 = 워커힐 호텔앤리조트가 운영하는 서울 광진구 광장동 '더글라스 하우스'가 세계 최대 규모 여행 사이트 '트립 어드바이저'(Trip Advisor)에서 서울 소재 662개 호텔 중 '여행자 평가 1위'(3일 기준)를 차지했다.트립어드바이저는 수많은 여행자 리뷰·의견과 더불어 숙박 시설·항공사·관광 명소·음식점 등을 소개하는 사이트다. 수많은 호텔 중 여행자 평가, 가성비, 최저가, 거리 등 기준을 적용해 원하는 숙소를 검색할 수 있다. 【서울=뉴시스】트립 어드바이저 내 '워커힐 더글라스 하우스' 페이지더글라스 하우스는 앞서 '그랜드 워커힐 별관'이었다. 지난해 4월 리뉴얼 오픈과 함께 독립적인 브랜드로 출범했다. 아직 2년도 채 안 된 더글라스 하우스가 서울 소재 호텔 중 1위를 달성한 것이어서 의미가 더욱 크다.더글라스 하우스는 건축가 김수근이 워커힐을 둘러싼 아차산 일부가 되도록 설계한 지상 3층 호텔동이다. 객실은 더글라스 스위트 4개, 트래디셔널 스위트 6개, 딜럭스 룸 42개 등 총 52개다. 아차산 기슭과 한강의 파노라마 전망을 통해 자연 속에 있는 편안함과 함께 외부와 단절된 프라이버시를 즐길 수 있다.【서울=뉴시스】워커힐 더글라스 하우스 입구 특히'어른들을 위한 휴식 공간'이라는 명확한 콘셉트 아래 만 13세 미만 어린이는 입장할 수 없는 '노키즈 존'(No kids zone)으로 운영돼 온전히 자신만을 위해 사유하고 휴식할 수 있다는 점이 '호캉스'와 '케렌시아' 트렌드와 잘 맞아떨어졌다는 평가를 들었다. 투숙객은 일상에서 벗어나 오롯이 쉬거나 각종 프로그램에 적극적으로 참여할 수 있다. '라이브러리'에서 북캉스의 여유를 만끽하며 휴식을 넘어 새로운 영감을 얻는 것이 가능하다. 매월 마지막 주 일요일 오후 4시~5시30분 '더글라스 문화 살롱', 매주 금요일 오후 3시30분~4시30분 와인을 비롯한 푸드 페어링 등을 가르치는 '쿡 앤 믹스' 세션 등 프로그램이 유용한 시간을 선사한다.  【서울=뉴시스】워커힐 더글라스 하우스  SK네트웍스 워커힐 호텔사업부 김철호 상무는 ""전 세계 실제 여행객 리뷰를 제공하는 트립 어드바이저에서 더글라스 하우스가 서울 호텔 1위에 등극한 것은 더글라스 하우스 그 자체가 독립적인 브랜드로서 자리 잡았다는 것을 의미하는 것이어서 더욱 반갑다""고 전했다.이어 ""김수근 건축가가 본래의 자연 경관을 해치지 않고, 산의 일부가 되도록 설계한 디자인 철학과 도심 속 휴양지를 지향하는 더글라스 뉴브랜딩 콘셉트가 잘 맞아 떨어진 것이 최고로 평가받은 이유라고 생각한다""며 ""앞으로도 더글라스 하우스는 일상에 지친 현대인을 위한 라이프스타일 호텔로서 자연 속에서 누리는 편안한 휴식의 가치를 지속해서 제공할 것이다""고 덧붙였다.【서울=뉴시스】워커힐 더글라스 하우스 외관한편, 더글라스 하우스는 30일까지 가을 객실 패키지인 '가을 이야기' '가을 내음' 등을 판매한다. 가을 이야기 패키지는 더글라스 딜럭스 룸 1박과 '피자힐 콤비네이션 피자 테이크아웃 또는 프라이드 치킨·소시지·모둠 피클 세트' 제공 등으로 구성한다. 23만원부터. 가을 내음 패키지는 트래디셔널 스위트룸 1박과 '웰컴 와인', 아차산 자연경관에서 영감을 얻어 제작된 '시그니처 디퓨저' 제공 등으로 구성한다. 27만3000원(이상 세금봉사료 별도)부터.두 패키지 모두 '더글라스 아워' '더글라스 라이트 조식' 이용, 피트니스 센터·실내 수영장 입장 등 혜택이 부여된다.ace@newsis.com▶ K-Artprice 모바일 오픈! 미술작품 가격을 공개합니다▶ 네이버에서 뉴시스 채널 구독하기▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기 <저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>
	
"
8,"술에 취해 항공기 비상문 뜯어내…""미친 외국인""","






[CBS노컷뉴스 권민철 기자]{IMG:1}태국에서 술취한 승객이 항공기 이륙 직전 비상구의 문을 뜯어내는 일이 벌어졌다.9일 데일리메일 등 외신에 따르면 지난 6일(현지시간) 오후 태국 치앙마이 국제공항에서  이륙 대기중이던 '타이 스마일' WE169편 항공기 안에서 한 승객이 갑자기 왼쪽 날개 부근 비상구 쪽으로 뛰어가더니 비상구의 힌지를 잡아당겼다. 그러자 비상구는 뜯겨져 나갔고 그 자리에 비상 탈출용 슬라이드가 부풀어 올랐다. 승객들은 비명을 질렀다. 기장은 즉시 항공기 운항을 멈추고 보안요원들에게 연락해 문제의 승객을 제압하도록 했다.보안요원들이 출동한 뒤 그는 두 팔과 두 발이 묶인 채 공항 보안 당국에 인계됐다.타이 항공이 소유한 저가 항공사인 '타이 스마일' 측은 문제의 승객은 구금중이며 동기는 아직 밝혀지지 않았다고 설명했다.그의 이름과 국적 등도 알려지지 않고 있다. 현지 언론은 다만 그를 '미친 외국인'이라고 표현했다.승객들은 그가 취해있었다고 진술했다고 한다.타이 언론은 그의 동기에 따라 징역 5년 형까지 처할 수 있다고 전했다.'타이 스마일'측은 이번 사고로 60만 바트(약 2천280만원)의 재산 피해가 발생한 것으로 보고 있다.해당 항공기는 오후 5시쯤 승객 86명을 태우고 예정됐던 방콕 수완나품 공항으로 이륙했다.▶ 확 달라진 노컷뉴스▶ 인싸들의 선택, 노컷뉴스 구독 서비스▶ 노컷이 못한 일, 돈컷은 한다twinpine@cbs.co.kr저작권자 © CBS 노컷뉴스 무단전재 및 재배포 금지
	
"
9,"美항공사들, 보잉 737 맥스 운항중단 내년 3월까지 연장","






사우스웨스트 3월6일·아메리칸 3월5일 재개 전망보잉. © AFP=뉴스1(서울=뉴스1) 김서연 기자 = 미국 항공사들이 보잉 737 맥스 기종 항공기 운항 중단을 내년 3월 초까지 연장한다.미 CNBC방송 등에 따르면 사우스웨스트항공은 737 맥스 운항이 내년 3월6일 재개될 것으로 보인다고 8일(현지시간) 발표했다. 회사 측은 ""(737)맥스 운항 재개 시점이 계속 불확실하다""는 미 연방항공청(FAA)의 언급을 인용하면서 이같이 알렸다.이와 별도로 같은 날 아메리칸 항공도 737 맥스 항공기 운항을 내년 3월5일부터 재개할 계획이라고 밝혔다.당초 사우스웨스트 항공은 2월 8일까지, 아메리칸 항공은 1월15일까지 737 운항을 중단할 계획이었다.익명을 요구한 한 소식통에 따르면 이번 발표는 보잉이 737 맥스 해결방안과 관련해 규제당국에 제출한 문서에서 정보가 누락된 데 따른 일이다. 이로 인해 검사 완료 시점이 지연됐고, 소프트웨어 테스트도 늦어졌다고 한다.CNN은 737 맥스 기종의 운항 재개 일정은 보잉이 해당 기체 문제에 대한 점검과 수리를 마치고 규제당국이 이를 승인해야 하기 때문에 정해져 있지 않다고 설명했다.이어 규제당국이 운항을 승인한다 하더라도 조종사들의 훈련이나 운항 일정 조정 등의 문제로 실제 서비스 재개엔 더 시간이 걸릴 전망이라고 덧붙였다. 항공사들은 737 맥스 운항 중단으로 매일 수십편의 항공편을 취소하고 있다.보잉 737 맥스는 지난해 10월과 올 3월 두 차례 추락사고로 346명이 사망하는 참사를 낸 뒤 운항이 전면 중단됐다.sy@news1.kr▶ [ 크립토허브 ] ▶ [ 해피펫 ]▶ 네이버 메인에서 [뉴스1] 구독하기![© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]

"
